,Year,day,,Time,Levels(ft),Inflows(Cs),Disch(Cs)
19,2002,19 November 2002,323,2002.882,1633.88,7427,17500
20,2002,20 November 2002,324,2002.885,1633.22,6815,17534
21,2002,21 November 2002,325,2002.888,1632.56,6989,17705
22,2002,22 November 2002,326,2002.890,1631.9,6945,17668
23,2002,23 November 2002,327,2002.893,1631.25,7070,17627
24,2002,24 November 2002,328,2002.896,1630.64,7096,17000
25,2002,25 November 2002,329,2002.899,1629.97,6512,17398
26,2002,26 November 2002,330,2002.901,1629.28,6463,17670
27,2002,27 November 2002,331,2002.904,1628.6,6459,17500
28,2002,28 November 2002,332,2002.907,1627.96,6991,17398
29,2002,29 November 2002,333,2002.910,1627.29,6618,17500
30,2002,30 November 2002,334,2002.912,1626.59,6168,17534
1,2002,01 December 2002,335,2002.915,1625.8,5724,18559
2,2002,02 December 2002,336,2002.918,1624.95,6094,19897
3,2002,03 December 2002,337,2002.921,1624.1,6093,19898
4,2002,04 December 2002,338,2002.923,1623.25,5942,19750
5,2002,05 December 2002,339,2002.926,1622.38,5872,20000
6,2002,06 December 2002,340,2002.929,1621.49,5506,19963
7,2002,07 December 2002,341,2002.932,1620.61,5375,19666
8,2002,08 December 2002,342,2002.934,1619.68,5404,20000
9,2002,09 December 2002,343,2002.937,1618.7,5536,19894
10,2002,10 December 2002,344,2002.940,1617.74,5797,19857
11,2002,11 December 2002,345,2002.942,1616.8,6228,20000
12,2002,12 December 2002,346,2002.945,1615.84,5935,20000
13,2002,13 December 2002,347,2002.948,1614.88,5935,20000
14,2002,14 December 2002,348,2002.951,1613.91,5794,20000
15,2002,15 December 2002,349,2002.953,1612.92,5709,20214
16,2002,16 December 2002,350,2002.956,1611.92,5384,20035
17,2002,17 December 2002,351,2002.959,1610.94,5644,20000
18,2002,18 December 2002,352,2002.962,1609.95,5644,20145
19,2002,19 December 2002,353,2002.964,1608.96,5494,20000
20,2002,20 December 2002,354,2002.967,1607.96,5349,20000
21,2002,21 December 2002,355,2002.970,1606.89,5055,20731
22,2002,22 December 2002,356,2002.973,1605.7,5107,22537
23,2002,23 December 2002,357,2002.975,1604.6,5705,21821
24,2002,24 December 2002,358,2002.978,1603.39,4834,22561
25,2002,25 December 2002,359,2002.981,1602.19,4670,22251
26,2002,26 December 2002,360,2002.984,1600.9,4372,23268
27,2002,27 December 2002,361,2002.986,1599.68,4381,21768
28,2002,28 December 2002,362,2002.989,1598.39,5779,22713
29,2002,29 December 2002,363,2002.992,1597.13,5957,22500
30,2002,30 December 2002,364,2002.995,1595.86,5756,22429
31,2002,31 December 2002,365,2002.997,1594.65,5438,21324
1,2003,01 January 2003,1,2003.000,1593.34,4280,21478
2,2003,02 January 2003,2,2003.003,1592.52,4441,15206
3,2003,03 January 2003,3,2003.005,1591.65,4929,16357
4,2003,04 January 2003,4,2003.008,1590.82,5638,16531
5,2003,05 January 2003,5,2003.011,1590.04,5757,15998
6,2003,06 January 2003,6,2003.014,1589.2,4968,15998
7,2003,07 January 2003,7,2003.016,1588.34,4734,16024
8,2003,08 January 2003,8,2003.019,1587.5,5033,16062
9,2003,09 January 2003,9,2003.022,1586.63,4604,16025
10,2003,10 January 2003,10,2003.025,1585.78,4940,16100
11,2003,11 January 2003,11,2003.027,1584.91,4679,16100
12,2003,12 January 2003,12,2003.030,1583.95,4057,16661
13,2003,13 January 2003,13,2003.033,1582.94,4030,17289
14,2003,14 January 2003,14,2003.036,1581.94,3821,16950
15,2003,15 January 2003,15,2003.038,1581,3859,16200
16,2003,16 January 2003,16,2003.041,1580.07,3878,16087
17,2003,17 January 2003,17,2003.044,1579.08,4494,16049
18,2003,18 January 2003,18,2003.047,1578.05,4406,16313
19,2003,19 January 2003,19,2003.049,1577.08,4986,16200
20,2003,20 January 2003,20,2003.052,1576.13,5069,16051
21,2003,21 January 2003,21,2003.055,1575.15,4906,16236
22,2003,22 January 2003,22,2003.058,1574.18,4880,16093
23,2003,23 January 2003,23,2003.060,1573.17,4488,16165
24,2003,24 January 2003,24,2003.063,1572.11,4368,16621
25,2003,25 January 2003,25,2003.066,1571.04,4193,16564
26,2003,26 January 2003,26,2003.068,1569.97,4124,16494
27,2003,27 January 2003,27,2003.071,1568.86,3903,16635
28,2003,28 January 2003,28,2003.074,1567.76,3813,16529
29,2003,29 January 2003,29,2003.077,1566.74,4600,16393
30,2003,30 January 2003,30,2003.079,1565.73,4859,16534
31,2003,31 January 2003,31,2003.082,1564.7,4858,16766
1,2003,01 February 2003,32,2003.085,1563.7,4674,16234
2,2003,02 February 2003,33,2003.088,1562.81,4923,15212
3,2003,03 February 2003,34,2003.090,1561.96,5025,14851
4,2003,04 February 2003,35,2003.093,1561.18,5683,14700
5,2003,05 February 2003,36,2003.096,1560.24,3866,14734
6,2003,06 February 2003,37,2003.099,1559.2,4108,14666
7,2003,07 February 2003,38,2003.101,1558.16,4682,14802
8,2003,08 February 2003,39,2003.104,1557.16,4970,14700
9,2003,09 February 2003,40,2003.107,1556.16,4969,14700
10,2003,10 February 2003,41,2003.110,1555.13,4678,14700
11,2003,11 February 2003,42,2003.112,1554.14,4965,14598
12,2003,12 February 2003,43,2003.115,1553.11,4677,14700
13,2003,13 February 2003,44,2003.118,1552.07,4543,14662
14,2003,14 February 2003,45,2003.121,1551,4250,14662
15,2003,15 February 2003,46,2003.123,1549.93,4207,14549
16,2003,16 February 2003,47,2003.126,1548.79,3877,14969
17,2003,17 February 2003,48,2003.129,1547.61,3630,15112
18,2003,18 February 2003,49,2003.132,1546.47,3651,14744
19,2003,19 February 2003,50,2003.134,1545.57,5915,14812
20,2003,20 February 2003,51,2003.137,1545.04,8085,13242
21,2003,21 February 2003,52,2003.140,1544.57,6837,11411
22,2003,22 February 2003,53,2003.142,1544.1,5707,10280
23,2003,23 February 2003,54,2003.145,1543.66,5230,9511
24,2003,24 February 2003,55,2003.148,1543.23,5116,9300
25,2003,25 February 2003,56,2003.151,1542.82,5395,9384
26,2003,26 February 2003,57,2003.153,1542.43,5764,9559
27,2003,27 February 2003,58,2003.156,1542.03,5321,9213
28,2003,28 February 2003,59,2003.159,1541.61,5169,9257
1,2003,01 March 2003,60,2003.162,1541.21,5682,9574
2,2003,02 March 2003,61,2003.164,1540.87,6886,10194
3,2003,03 March 2003,62,2003.167,1540.86,11422,11519
4,2003,04 March 2003,63,2003.170,1540.84,12489,12684
5,2003,05 March 2003,64,2003.173,1540.44,8847,12719
6,2003,06 March 2003,65,2003.175,1539.86,7288,12650
7,2003,07 March 2003,66,2003.178,1539.22,7679,12615
8,2003,08 March 2003,67,2003.181,1538.52,7410,12811
9,2003,09 March 2003,68,2003.184,1537.84,7364,12608
10,2003,10 March 2003,69,2003.186,1537.02,7020,13345
11,2003,11 March 2003,70,2003.189,1536.22,7167,13333
12,2003,12 March 2003,71,2003.192,1535.25,6716,14198
13,2003,13 March 2003,72,2003.195,1534.13,5637,14278
14,2003,14 March 2003,73,2003.197,1532.96,5976,15000
15,2003,15 March 2003,74,2003.200,1531.78,6239,15342
16,2003,16 March 2003,75,2003.203,1530.53,6893,16533
17,2003,17 March 2003,76,2003.205,1529.29,6939,16500
18,2003,18 March 2003,77,2003.208,1528.03,6813,16533
19,2003,19 March 2003,78,2003.211,1526.66,5899,16467
20,2003,20 March 2003,79,2003.214,1525.28,5889,16533
21,2003,21 March 2003,80,2003.216,1523.93,5957,16367
22,2003,22 March 2003,81,2003.219,1522.66,6301,16097
23,2003,23 March 2003,82,2003.222,1521.35,7282,17386
24,2003,24 March 2003,83,2003.225,1520.07,7060,16934
25,2003,25 March 2003,84,2003.227,1518.75,8837,17266
26,2003,26 March 2003,85,2003.230,1517.57,9620,17069
27,2003,27 March 2003,86,2003.233,1516.29,8914,17000
28,2003,28 March 2003,87,2003.236,1514.86,8046,17071
29,2003,29 March 2003,88,2003.238,1513.5,8778,17362
30,2003,30 March 2003,89,2003.241,1512.57,10846,16718
31,2003,31 March 2003,90,2003.244,1512,12863,16462
1,2003,01 April 2003,91,2003.247,1511.12,10857,16413
2,2003,02 April 2003,92,2003.249,1509.92,8640,16219
3,2003,03 April 2003,93,2003.252,1508.76,8781,16102
4,2003,04 April 2003,94,2003.255,1507.68,8875,15692
5,2003,05 April 2003,95,2003.258,1506.72,8952,15012
6,2003,06 April 2003,96,2003.260,1506.2,8417,11700
7,2003,07 April 2003,97,2003.263,1505.62,7789,11450
8,2003,08 April 2003,98,2003.266,1505.22,7974,10500
9,2003,09 April 2003,99,2003.268,1505.02,9064,10326
10,2003,10 April 2003,100,2003.271,1505.16,10956,10072
11,2003,11 April 2003,101,2003.274,1505.65,13636,10542
12,2003,12 April 2003,102,2003.277,1506.12,12958,9992
13,2003,13 April 2003,103,2003.279,1506.81,13081,8725
14,2003,14 April 2003,104,2003.282,1507.75,14234,8300
15,2003,15 April 2003,105,2003.285,1508.94,15769,8258
16,2003,16 April 2003,106,2003.288,1510.01,15056,8300
17,2003,17 April 2003,107,2003.290,1511.11,15245,8300
18,2003,18 April 2003,108,2003.293,1512.17,14992,8300
19,2003,19 April 2003,109,2003.296,1512.93,13452,8655
20,2003,20 April 2003,110,2003.299,1513.73,14050,9000
21,2003,21 April 2003,111,2003.301,1514.65,14850,9042
22,2003,22 April 2003,112,2003.304,1515.38,13565,8958
23,2003,23 April 2003,113,2003.307,1515.57,11093,9893
24,2003,24 April 2003,114,2003.310,1515.45,13542,14300
25,2003,25 April 2003,115,2003.312,1515.76,16981,15024
26,2003,26 April 2003,116,2003.315,1516.4,19371,15332
27,2003,27 April 2003,117,2003.318,1517.37,21284,15156
28,2003,28 April 2003,118,2003.321,1518.16,20099,15112
29,2003,29 April 2003,119,2003.323,1518.6,18020,15242
30,2003,30 April 2003,120,2003.326,1518.2,14962,17488
1,2003,01 May 2003,121,2003.329,1517.18,15262,21701
2,2003,02 May 2003,122,2003.332,1516.5,18345,22641
3,2003,03 May 2003,123,2003.334,1516.16,20980,23127
4,2003,04 May 2003,124,2003.337,1515.9,21309,22950
5,2003,05 May 2003,125,2003.340,1514.99,17382,23126
6,2003,06 May 2003,126,2003.342,1513.74,15061,22950
7,2003,07 May 2003,127,2003.345,1512.63,15988,22995
8,2003,08 May 2003,128,2003.348,1511.59,16385,22950
9,2003,09 May 2003,129,2003.351,1510.8,17916,22905
10,2003,10 May 2003,130,2003.353,1510.66,22290,23173
11,2003,11 May 2003,131,2003.356,1511,24566,22419
12,2003,12 May 2003,132,2003.359,1511.96,29142,23082
13,2003,13 May 2003,133,2003.362,1513.15,30506,22994
14,2003,14 May 2003,134,2003.364,1514.66,32217,22685
15,2003,15 May 2003,135,2003.367,1515.46,28132,23083
16,2003,16 May 2003,136,2003.370,1516.04,26699,23038
17,2003,17 May 2003,137,2003.373,1516.78,27842,23171
18,2003,18 May 2003,138,2003.375,1518.43,33281,22861
19,2003,19 May 2003,139,2003.378,1520.38,35880,23039
20,2003,20 May 2003,140,2003.381,1522.55,39643,22905
21,2003,21 May 2003,141,2003.384,1524.91,41062,22862
22,2003,22 May 2003,142,2003.386,1527.35,41772,22950
23,2003,23 May 2003,143,2003.389,1530.17,44877,23127
24,2003,24 May 2003,144,2003.392,1532.82,43388,22950
25,2003,25 May 2003,145,2003.395,1535.04,40076,22950
26,2003,26 May 2003,146,2003.397,1537.14,39144,22950
27,2003,27 May 2003,147,2003.400,1538.84,36107,22995
28,2003,28 May 2003,148,2003.403,1540.4,35791,22950
29,2003,29 May 2003,149,2003.405,1542.2,40465,22950
30,2003,30 May 2003,150,2003.408,1543.44,35015,22950
31,2003,31 May 2003,151,2003.411,1544.75,35697,22950
1,2003,01 June 2003,152,2003.414,1546.9,44694,23774
2,2003,02 June 2003,153,2003.416,1549.45,51442,26634
3,2003,03 June 2003,154,2003.419,1552.04,51215,26013
4,2003,04 June 2003,155,2003.422,1554.7,52294,26411
5,2003,05 June 2003,156,2003.425,1557.94,57851,26325
6,2003,06 June 2003,157,2003.427,1560.45,52291,27044
7,2003,07 June 2003,158,2003.430,1562.5,52155,28456
8,2003,08 June 2003,159,2003.433,1564.8,55046,28457
9,2003,09 June 2003,160,2003.436,1567.25,56781,28457
10,2003,10 June 2003,161,2003.438,1569.92,60448,29582
11,2003,11 June 2003,162,2003.441,1572.39,58943,30388
12,2003,12 June 2003,163,2003.444,1574.36,53208,30433
13,2003,13 June 2003,164,2003.447,1576.14,50788,30211
14,2003,14 June 2003,165,2003.449,1577.76,49028,30300
15,2003,15 June 2003,166,2003.452,1579.11,45907,30300
16,2003,16 June 2003,167,2003.455,1580.41,45971,30300
17,2003,17 June 2003,168,2003.458,1581.78,48286,30300
18,2003,18 June 2003,169,2003.460,1583.11,47761,30300
19,2003,19 June 2003,170,2003.463,1584.42,47455,30256
20,2003,20 June 2003,171,2003.466,1585.87,49292,30256
21,2003,21 June 2003,172,2003.468,1586.85,43078,30212
22,2003,22 June 2003,173,2003.471,1587.47,38676,30537
23,2003,23 June 2003,174,2003.474,1588.1,39116,30844
24,2003,24 June 2003,175,2003.477,1589.02,42614,30933
25,2003,25 June 2003,176,2003.479,1589.7,39727,30800
26,2003,26 June 2003,177,2003.482,1590.34,39117,30712
27,2003,27 June 2003,178,2003.485,1591.48,45939,30976
28,2003,28 June 2003,179,2003.488,1593.09,51855,30712
29,2003,29 June 2003,180,2003.490,1594.34,47255,30844
30,2003,30 June 2003,181,2003.493,1595.48,45721,30756
1,2003,01 July 2003,182,2003.496,1596.55,45530,31482
2,2003,02 July 2003,183,2003.499,1597.09,39958,32868
3,2003,03 July 2003,184,2003.501,1597.77,42950,34023
4,2003,04 July 2003,185,2003.504,1598.48,43321,34000
5,2003,05 July 2003,186,2003.507,1599.98,53549,33856
6,2003,06 July 2003,187,2003.510,1602.53,67647,30842
7,2003,07 July 2003,188,2003.512,1603.54,46758,31961
8,2003,08 July 2003,189,2003.515,1604.21,42822,33005
9,2003,09 July 2003,190,2003.518,1604.72,40427,32956
10,2003,10 July 2003,191,2003.521,1605.45,43652,32956
11,2003,11 July 2003,192,2003.523,1606.2,43851,32868
12,2003,12 July 2003,193,2003.526,1606.68,40076,33044
13,2003,13 July 2003,194,2003.529,1607.11,39213,32912
14,2003,14 July 2003,195,2003.532,1608.16,48559,33176
15,2003,15 July 2003,196,2003.534,1608.71,41102,33044
16,2003,16 July 2003,197,2003.537,1609.31,41792,33000
17,2003,17 July 2003,198,2003.540,1610.28,47208,33000
18,2003,18 July 2003,199,2003.542,1611.47,50294,33000
19,2003,19 July 2003,200,2003.545,1612.11,42644,33267
20,2003,20 July 2003,201,2003.548,1612.6,40178,33000
21,2003,21 July 2003,202,2003.551,1613.54,46285,32513
22,2003,22 July 2003,203,2003.553,1615,53092,31706
23,2003,23 July 2003,204,2003.556,1615.9,44185,31000
24,2003,24 July 2003,205,2003.559,1616.92,45899,30955
25,2003,25 July 2003,206,2003.562,1618.26,50628,31000
26,2003,26 July 2003,207,2003.564,1619.14,43899,31000
27,2003,27 July 2003,208,2003.567,1620.38,48769,29998
28,2003,28 July 2003,209,2003.570,1621.75,52205,29956
29,2003,29 July 2003,210,2003.573,1623.08,51342,29740
30,2003,30 July 2003,211,2003.575,1624.32,50142,30000
31,2003,31 July 2003,212,2003.578,1625.48,48838,30000
1,2003,01 August 2003,213,2003.581,1627.88,67328,28348
2,2003,02 August 2003,214,2003.584,1629.92,60524,27391
3,2003,03 August 2003,215,2003.586,1631.68,55839,27253
4,2003,04 August 2003,216,2003.589,1634.02,63396,27388
5,2003,05 August 2003,217,2003.592,1635.84,56558,27000
6,2003,06 August 2003,218,2003.595,1637.74,57946,27087
7,2003,07 August 2003,219,2003.597,1639.12,49370,26956
8,2003,08 August 2003,220,2003.600,1640.3,46790,27131
9,2003,09 August 2003,221,2003.603,1641.67,51327,26826
10,2003,10 August 2003,222,2003.605,1642.93,49667,27130
11,2003,11 August 2003,223,2003.608,1644,46117,27044
12,2003,12 August 2003,224,2003.611,1644.81,41442,26956
13,2003,13 August 2003,225,2003.614,1645.43,38132,27044
14,2003,14 August 2003,226,2003.616,1646.07,38714,27265
15,2003,15 August 2003,227,2003.619,1646.81,40234,27000
16,2003,16 August 2003,228,2003.622,1647.57,40590,27000
17,2003,17 August 2003,229,2003.625,1648.14,37192,27000
18,2003,18 August 2003,230,2003.627,1648.62,35586,27000
19,2003,19 August 2003,231,2003.630,1649.48,42561,27177
20,2003,20 August 2003,232,2003.633,1651.38,61066,27089
21,2003,21 August 2003,233,2003.636,1652.31,43635,27000
22,2003,22 August 2003,234,2003.638,1652.83,36389,27089
23,2003,23 August 2003,235,2003.641,1653.12,32185,27000
24,2003,24 August 2003,236,2003.644,1653.36,31292,27000
25,2003,25 August 2003,237,2003.647,1653.71,33260,27000
26,2003,26 August 2003,238,2003.649,1654.2,35762,27000
27,2003,27 August 2003,239,2003.652,1654.98,40950,27000
28,2003,28 August 2003,240,2003.655,1656.42,52395,27000
29,2003,29 August 2003,241,2003.658,1657.28,42378,27000
30,2003,30 August 2003,242,2003.660,1658.13,42200,27000
31,2003,31 August 2003,243,2003.663,1659.16,45424,27000
1,2003,01 September 2003,244,2003.666,1659.94,39874,25924
2,2003,02 September 2003,245,2003.668,1660.63,38332,25000
3,2003,03 September 2003,246,2003.671,1661.79,47665,25089
4,2003,04 September 2003,247,2003.674,1663.36,55671,25309
5,2003,05 September 2003,248,2003.677,1664.07,38772,24955
6,2003,06 September 2003,249,2003.679,1664.57,34775,25045
7,2003,07 September 2003,250,2003.682,1665.05,34342,25000
8,2003,08 September 2003,251,2003.685,1665.56,34925,25000
9,2003,09 September 2003,252,2003.688,1665.89,31334,24911
10,2003,10 September 2003,253,2003.690,1666.26,32200,25000
11,2003,11 September 2003,254,2003.693,1666.54,30448,25000
12,2003,12 September 2003,255,2003.696,1666.97,31452,23083
13,2003,13 September 2003,256,2003.699,1667.32,29717,22906
14,2003,14 September 2003,257,2003.701,1667.68,29911,22905
15,2003,15 September 2003,258,2003.704,1668.02,29567,22950
16,2003,16 September 2003,259,2003.707,1668.3,28355,22906
17,2003,17 September 2003,260,2003.710,1668.64,29566,22950
18,2003,18 September 2003,261,2003.712,1668.94,28745,22906
19,2003,19 September 2003,262,2003.715,1669.14,26841,22950
20,2003,20 September 2003,263,2003.718,1669.28,25719,22994
21,2003,21 September 2003,264,2003.721,1669.38,24940,22994
22,2003,22 September 2003,265,2003.723,1669.48,24896,22950
23,2003,23 September 2003,266,2003.726,1669.84,30001,22995
24,2003,24 September 2003,267,2003.729,1670.31,32052,22905
25,2003,25 September 2003,268,2003.732,1670.48,26258,22950
26,2003,26 September 2003,269,2003.734,1670.55,24312,22950
27,2003,27 September 2003,270,2003.737,1670.55,22950,22950
28,2003,28 September 2003,271,2003.740,1670.31,18280,22950
29,2003,29 September 2003,272,2003.742,1670.17,18280,21005
30,2003,30 September 2003,273,2003.745,1670.05,18710,21045
1,2003,01 October 2003,274,2003.748,1669.85,15791,19683
2,2003,02 October 2003,275,2003.751,1669.75,14640,16586
3,2003,03 October 2003,276,2003.753,1669.64,14444,16586
4,2003,04 October 2003,277,2003.756,1669.51,14102,16631
5,2003,05 October 2003,278,2003.759,1669.35,13386,16500
6,2003,06 October 2003,279,2003.762,1669.15,12651,16543
7,2003,07 October 2003,280,2003.764,1668.97,12998,16500
8,2003,08 October 2003,281,2003.767,1668.85,14122,16457
9,2003,09 October 2003,282,2003.770,1668.69,13386,16500
10,2003,10 October 2003,283,2003.773,1668.52,13277,16586
11,2003,11 October 2003,284,2003.775,1668.32,12608,16500
12,2003,12 October 2003,285,2003.778,1668.08,11830,16500
13,2003,13 October 2003,286,2003.781,1667.86,12133,16414
14,2003,14 October 2003,287,2003.784,1667.6,11439,16500
15,2003,15 October 2003,288,2003.786,1667.3,10662,16500
16,2003,16 October 2003,289,2003.789,1667.02,10920,16369
17,2003,17 October 2003,290,2003.792,1666.76,11441,16500
18,2003,18 October 2003,291,2003.795,1666.47,10769,16414
19,2003,19 October 2003,292,2003.797,1666.16,10468,16500
20,2003,20 October 2003,293,2003.800,1665.84,10144,16372
21,2003,21 October 2003,294,2003.803,1665.5,9546,16163
22,2003,22 October 2003,295,2003.805,1665.14,9873,16879
23,2003,23 October 2003,296,2003.808,1664.76,9106,16500
24,2003,24 October 2003,297,2003.811,1664.35,8478,16458
25,2003,25 October 2003,298,2003.814,1663.98,9300,16500
26,2003,26 October 2003,299,2003.816,1663.61,9257,16458
27,2003,27 October 2003,300,2003.819,1663.24,9088,16289
28,2003,28 October 2003,301,2003.822,1662.83,8607,16584
29,2003,29 October 2003,302,2003.825,1662.4,8824,17193
30,2003,30 October 2003,303,2003.827,1661.96,8438,17000
31,2003,31 October 2003,304,2003.830,1661.49,7983,17130
1,2003,01 November 2003,305,2003.833,1660.94,8471,19175
2,2003,02 November 2003,306,2003.836,1660.43,8575,18500
3,2003,03 November 2003,307,2003.838,1659.89,8166,18500
4,2003,04 November 2003,308,2003.841,1659.32,8349,18543
5,2003,05 November 2003,309,2003.844,1658.79,9106,18588
6,2003,06 November 2003,310,2003.847,1658.28,9468,18589
7,2003,07 November 2003,311,2003.849,1657.75,9066,18544
8,2003,08 November 2003,312,2003.852,1657.16,8080,18632
9,2003,09 November 2003,313,2003.855,1656.55,7726,18633
10,2003,10 November 2003,314,2003.858,1655.94,7542,18455
11,2003,11 November 2003,315,2003.860,1655.36,7789,18162
12,2003,12 November 2003,316,2003.863,1654.8,7442,17456
13,2003,13 November 2003,317,2003.866,1654.26,7404,17061
14,2003,14 November 2003,318,2003.868,1653.7,7486,17500
15,2003,15 November 2003,319,2003.871,1653.15,7614,17451
16,2003,16 November 2003,320,2003.874,1652.59,7487,17500
17,2003,17 November 2003,321,2003.877,1652.06,7512,16991
18,2003,18 November 2003,322,2003.879,1651.52,8263,17923
19,2003,19 November 2003,323,2003.882,1651,7903,17203
20,2003,20 November 2003,324,2003.885,1650.44,7528,17542
21,2003,21 November 2003,325,2003.888,1649.88,7366,17380
22,2003,22 November 2003,326,2003.890,1649.29,7415,17966
23,2003,23 November 2003,327,2003.893,1648.67,7145,18237
24,2003,24 November 2003,328,2003.896,1648.05,6953,18042
25,2003,25 November 2003,329,2003.899,1647.43,6704,17790
26,2003,26 November 2003,330,2003.901,1646.82,6989,17897
27,2003,27 November 2003,331,2003.904,1646.21,7091,18000
28,2003,28 November 2003,332,2003.907,1645.55,6192,18000
29,2003,29 November 2003,333,2003.910,1644.26,6101,17724
30,2003,30 November 2003,334,2003.912,1644.26,6290,17736
1,2003,01 December 2003,335,2003.915,1643.61,6339,17962
2,2003,02 December 2003,336,2003.918,1642.9,6215,18912
3,2003,03 December 2003,337,2003.921,1642.16,6200,19435
4,2003,04 December 2003,338,2003.923,1641.44,6035,18914
5,2003,05 December 2003,339,2003.926,1640.47,5564,19333
6,2003,06 December 2003,340,2003.929,1639.89,5795,19567
7,2003,07 December 2003,341,2003.932,1639.12,6827,19333
8,2003,08 December 2003,342,2003.934,1638.38,7349,19367
9,2003,09 December 2003,343,2003.937,1637.6,6730,19400
10,2003,10 December 2003,344,2003.940,1636.83,6658,19162
11,2003,11 December 2003,345,2003.942,1636.02,6280,19435
12,2003,12 December 2003,346,2003.945,1635.24,6729,19400
13,2003,13 December 2003,347,2003.948,1634.44,6409,19400
14,2003,14 December 2003,348,2003.951,1633.66,6729,19400
15,2003,15 December 2003,349,2003.953,1632.88,6352,19019
16,2003,16 December 2003,350,2003.956,1632.06,6178,19495
17,2003,17 December 2003,351,2003.959,1631.21,6222,19543
18,2003,18 December 2003,352,2003.962,1630.44,6446,19436
19,2003,19 December 2003,353,2003.964,1629.64,6403,19400
20,2003,20 December 2003,354,2003.967,1628.82,6084,19400
21,2003,21 December 2003,355,2003.970,1627.99,5917,19400
22,2003,22 December 2003,356,2003.973,1627.15,5686,19329
23,2003,23 December 2003,357,2003.975,1626.28,5307,19435
24,2003,24 December 2003,358,2003.978,1625.38,4922,19543
25,2003,25 December 2003,359,2003.981,1624.49,4878,19329
26,2003,26 December 2003,360,2003.984,1623.58,4758,19541
27,2003,27 December 2003,361,2003.986,1622.69,4914,19366
28,2003,28 December 2003,362,2003.989,1621.79,4743,19364
29,2003,29 December 2003,363,2003.992,1620.88,4622,19400
30,2003,30 December 2003,364,2003.995,1619.98,4850,19436
31,2003,31 December 2003,365,2003.997,1618.98,5118,19769
1,2004,01 January 2004,1,2004.000,1618.02,5549,19613
2,2004,02 January 2004,2,2004.003,1617.22,5352,17068
3,2004,03 January 2004,3,2004.005,1616.39,5173,17333
4,2004,04 January 2004,4,2004.008,1615.56,5246,17407
5,2004,05 January 2004,5,2004.011,1614.74,5286,17300
6,2004,06 January 2004,6,2004.014,1613.93,5298,17160
7,2004,07 January 2004,7,2004.016,1613.1,5140,17300
8,2004,08 January 2004,8,2004.019,1612.28,5355,17369
9,2004,09 January 2004,9,2004.022,1611.42,4771,17371
10,2004,10 January 2004,10,2004.025,1610.54,4409,17300
11,2004,11 January 2004,11,2004.027,1609.66,4660,17500
12,2004,12 January 2004,12,2004.030,1608.71,4381,18300
13,2004,13 January 2004,13,2004.033,1607.76,4381,18300
14,2004,14 January 2004,14,2004.036,1606.84,4785,18264
15,2004,15 January 2004,15,2004.038,1605.91,4609,18229
16,2004,16 January 2004,16,2004.041,1604.96,4381,18300
17,2004,17 January 2004,17,2004.044,1604,4236,18300
18,2004,18 January 2004,18,2004.046,1603.03,4089,18300
19,2004,19 January 2004,19,2004.049,1602.07,4235,18300
20,2004,20 January 2004,20,2004.052,1601.11,4311,18371
21,2004,21 January 2004,21,2004.055,1600.16,4177,18096
22,2004,22 January 2004,22,2004.057,1599.24,5635,17957
23,2004,23 January 2004,23,2004.060,1598.46,8303,18543
24,2004,24 January 2004,24,2004.063,1597.95,11737,18433
25,2004,25 January 2004,25,2004.066,1597.3,7643,16176
26,2004,26 January 2004,26,2004.068,1596.46,5372,16400
27,2004,27 January 2004,27,2004.071,1595.62,5372,16400
28,2004,28 January 2004,28,2004.074,1594.8,5568,16333
29,2004,29 January 2004,29,2004.077,1593.96,5239,16267
30,2004,30 January 2004,30,2004.079,1593.13,5403,16300
31,2004,31 January 2004,31,2004.082,1592.36,5925,16033
1,2004,01 February 2004,32,2004.085,1591.7,7923,16594
2,2004,02 February 2004,33,2004.087,1590.98,6281,15731
3,2004,03 February 2004,34,2004.090,1590.18,5497,16000
4,2004,04 February 2004,35,2004.093,1589.36,5266,16033
5,2004,05 February 2004,36,2004.096,1588.48,4446,16000
6,2004,06 February 2004,37,2004.098,1587.62,4710,16000
7,2004,07 February 2004,38,2004.101,1586.73,4659,16343
8,2004,08 February 2004,39,2004.104,1585.86,4435,15857
9,2004,09 February 2004,40,2004.107,1584.96,4185,16000
10,2004,10 February 2004,41,2004.109,1584.1,4609,15900
11,2004,11 February 2004,42,2004.112,1583.23,4612,16034
12,2004,12 February 2004,43,2004.115,1582.38,4874,16033
13,2004,13 February 2004,44,2004.117,1581.49,4315,16000
14,2004,14 February 2004,45,2004.120,1580.61,4447,16000
15,2004,15 February 2004,46,2004.123,1579.74,4989,16000
16,2004,16 February 2004,47,2004.126,1578.8,5134,16000
17,2004,17 February 2004,48,2004.128,1577.88,5468,16104
18,2004,18 February 2004,49,2004.131,1576.97,5480,16000
19,2004,19 February 2004,50,2004.134,1576.06,5481,16000
20,2004,20 February 2004,51,2004.137,1575.14,5363,16000
21,2004,21 February 2004,52,2004.139,1574.13,6040,17715
22,2004,22 February 2004,53,2004.142,1573.02,6302,19135
23,2004,23 February 2004,54,2004.145,1571.87,5543,18838
24,2004,24 February 2004,55,2004.148,1570.74,5510,18574
25,2004,25 February 2004,56,2004.150,1569.6,5546,18724
26,2004,26 February 2004,57,2004.153,1568.45,5505,18800
27,2004,27 February 2004,58,2004.156,1567.3,5506,18800
